px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.59584	0.321942	2.1223	1.00002e-05	1.00002e-05	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.38536
3.80636	-0.13227	2.46903	-0.190815	-0.0673044	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	5.01655
3.88964	0.0742949	2.53431	0.054457	0.0749455	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.75901
6.6925	0.38589	3.10552	1.31028	0.765274	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	13.4556
6.58477	0.326211	3.03557	0.836735	0.0866213	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	4.17768
9.17804	0.801779	2.24955	-0.0258278	-0.672034	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	15.3418
9.13995	0.852918	2.31717	0.0315276	-0.596925	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.67742
11.5646	1.6151	2.32879	0.413134	0.157199	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	3.31738
11.5567	1.56512	2.3811	0.334598	0.0481802	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.00155
13.6102	2.31849	2.35204	0.375549	0.0458403	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.0528553
13.641	2.27801	2.39527	0.321592	-0.0237747	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.16168
16.3799	2.83509	2.78611	0.0927317	-0.190657	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	10.4141
16.3662	2.8359	2.77818	0.0963804	-0.187183	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.089321
18.9818	3.68684	2.81443	0.396987	0.175752	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.821895
19.0267	3.72089	2.80699	0.451474	0.257658	19.363	3.87122	18.923	3.74161	2.61382	0.95648	2.06006
21.3568	4.75924	2.75285	0.489178	0.101435	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.364374
21.4114	4.75872	2.79873	0.450478	0.0440993	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.811336
24.0316	5.56026	2.84932	0.213502	-0.173072	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.563277
24.1317	5.59166	2.94892	0.196988	-0.189304	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.8938
26.6432	6.94403	2.89458	0.578772	0.229871	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.22405
26.6444	6.9204	2.93055	0.517014	0.122712	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.668445
29.4791	8.04146	3.09176	0.27614	-0.18566	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.35007
29.4812	8.04509	3.0868	0.275542	-0.187367	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0901062
31.9833	9.86284	3.04876	0.756828	0.31085	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.66407
31.9517	9.83455	3.03535	0.72196	0.254464	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.938859
34.6687	10.8116	2.83066	0.250855	-0.285216	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.6523
34.7429	10.8354	2.89833	0.231123	-0.299614	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	1.96045
37.205	12.0703	2.82576	0.482102	0.105349	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.65121
37.2689	12.0825	2.90936	0.460946	0.0592319	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.68451
40.1477	13.3816	3.20372	0.370923	-0.0836735	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	5.69929
40.1094	13.3752	3.15342	0.382038	-0.0693922	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.602374
42.7504	14.8156	3.18803	0.534373	0.0976833	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.211047
42.7369	14.8117	3.1832	0.530499	0.0884245	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.160216
